Lower layer Super Output Areas Code,Lower layer Super Output Areas,Observation
E01000323,Barnet 019F,1019
E01000324,Barnet 015F,649
E01000325,Bexley 014A,585
E01000326,Bexley 014B,542
E01000327,Bexley 017A,623
E01000328,Bexley 017B,612
E01000329,Bexley 017C,658
E01000330,Bexley 017D,768
E01000331,Bexley 017E,617
E01000332,Bexley 005A,615
E01000333,Bexley 003A,810
E01000334,Bexley 006A,637
E01000335,Bexley 003B,1045
E01000336,Bexley 003C,791
E01000337,Bexley 003D,645
E01000338,Bexley 003E,692
E01000339,Bexley 025A,601
E01000340,Bexley 018A,626
E01000341,Bexley 022A,623
E01000342,Bexley 022B,634
E01000343,Bexley 022C,558
E01000344,Bexley 025B,637
E01000345,Bexley 022D,489
E01000346,Bexley 021A,617
E01000347,Bexley 021B,627
E01000348,Bexley 020A,525
E01000349,Bexley 020B,656
E01000350,Bexley 021C,523
E01000351,Bexley 024A,624
E01000352,Bexley 021D,667
E01000353,Bexley 011A,654
E01000354,Bexley 011B,607
E01000355,Bexley 011C,601
E01000356,Bexley 009A,628
E01000357,Bexley 009B,488
E01000358,Bexley 011D,665
E01000359,Bexley 009C,494
E01000360,Bexley 015A,772
E01000361,Bexley 020C,600
E01000362,Bexley 015B,777
E01000363,Bexley 020D,565
E01000364,Bexley 023A,649
E01000365,Bexley 015C,708
E01000366,Bexley 015D,659
E01000367,Bexley 010A,797
E01000368,Bexley 010B,627
E01000369,Bexley 014C,629
E01000370,Bexley 014D,634
E01000371,Bexley 014E,629
E01000372,Bexley 010C,590
E01000373,Bexley 008A,461
E01000374,Bexley 019A,523
E01000375,Bexley 019B,786
E01000376,Bexley 019C,611
E01000377,Bexley 019D,653
E01000379,Bexley 019F,670
E01000380,Bexley 010D,904
E01000381,Bexley 028A,657
E01000382,Bexley 027A,588
E01000383,Bexley 028B,626
E01000384,Bexley 027B,758
E01000385,Bexley 028C,786
E01000386,Bexley 028D,645
E01000387,Bexley 027C,625
E01000388,Bexley 016A,599
E01000389,Bexley 020E,712
E01000390,Bexley 020F,515
E01000391,Bexley 021E,639
E01000392,Bexley 016B,764
E01000393,Bexley 020G,626
E01000394,Bexley 015E,670
E01000395,Bexley 018B,546
